ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Authors,DataEntry,Consultants,Representations,alt_names,date
26,Avar (Batlukh dialect),batl1238,Batlux,ava,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Avar;Batlukh;Batlux,2014-01-24
27,Avar (Hid dialect),hidd1238,Hid,ava,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Avar;Hid,2014-01-24
28,Avar (Andalal dialect),anda1281,Andalal-Gxdatl,ava,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Andalal;Avar,2014-01-24
29,Avar (Antsukh dialect),ancu1238,Ancux,ava,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Ancux;Antsukh;Avar,2014-01-24
30,Avar (Zakataly dialect),zaka1239,Zakataly,ava,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Avar;Char;Zakataly,2014-01-24
31,Avar (Karakh dialect),kara1473,Karax,ava,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Avar;Karakh;Karax,2014-01-24
32,Andi,andi1255,Andi,ani,Eurasia,42.8078,46.2919,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Andii;Andiy;Qwannab,2014-01-24
33,Akhvakh (Northern dialect),akhv1239,Akhvakh,akv,Eurasia,42.4003,46.3037,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Akhvakh;Axvax;Northern,2014-01-23
34,Akhvakh (Southern dialect),akhv1239,Akhvakh,akv,Eurasia,42.4003,46.3037,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Akhvakh;Axvax;Southern,2014-01-23
35,Bagvalal,bagv1239,Bagvalal,kva,Eurasia,42.3966,46.1041,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Bagulal;Bagvalin;Bagwalal;Barbalin;Kvanada;Kvanadin,2014-01-24
37,Botlikh,botl1242,Botlikh,bph,Eurasia,42.665,46.22,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Botlix,2014-01-24
38,Godoberi,ghod1238,Godoberi,gdo,Eurasia,42.7428,46.2252,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Ghodoberi;Ghodoberin;Godoberin,2014-01-25
39,Karata,kara1474,Karata-Tukita,kpt,Eurasia,42.6501,46.3151,Nakh-Daghestanian,Madzhid Khalilov,Claudia Schmidt;Stefan Lange,,CyrillTrans;Phonemic,Karatai;Karatin;Kirdi,2014-01-26
40,Karata (Tokitin dialect),toki1238,Tokita,kpt,Eurasia,42.5727,46.3724,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Karata;Karatai;Karatin;Kirdi;Tokita;Tokitin,2014-01-26
41,Khwarshi (Khwarshi dialect),xvar1237,Xvarshi,khv,Eurasia,,,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Khvarsh;Khvarshi;Xvarshi;Xvarshik,2014-01-26
42,Hinuq,hinu1240,Hinuq,gin,Eurasia,42.4502,45.8064,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Ginukh;Ginukhtsy;Ginux;Hinukh;Hinux,2014-01-26
50,Tindi,tind1238,Tindi,tin,Eurasia,42.3316,45.9227,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Tindal;Tindin,2014-01-26
51,Chamalal,cham1309,Chamalal,cji,Eurasia,42.5024,45.995,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Camalal;Chamalin,2014-01-25
52,Hunzib,hunz1247,Hunzib,huz,Eurasia,42.0808,46.1369,Nakh-Daghestanian,Madzhid Khalilov,Stefan Lange,,CyrillTrans;Phonemic,Enzeb;Gunzib;Khunzaly;Xunzal,2014-01-26
