ID,Name,Concepticon_ID,Concepticon_Gloss
14-320,often,1852,
14-310,always,1676,
14-290,ready,790,
14-280,"cease, stop",1928,
14-270,finish,1766,
14-260,end (temporal),743,
14-252,"last, endure",1186,
14-250,"begin, beginning",1806,
14-240,"retard, delay",425,
14-230,"hasten, hurry",754,
14-220,slow,701,
14-210,"swift, fast, quick",1631,
14-190,immediately,1963,
14-180,now,1376,
14-170,late,477,
14-160,early,672,
14-150,old,1229,
14-140,young,1207,
14-120,age,1789,
14-130,new,1231,
14-110,time,892,
13-440,three times,417,
13-420,third,1859,
13-380,two times,1546,
13-370,pair,1888,
13-360,second,1384,
13-350,last,1529,
13-340,first,728,
13-330,"alone, only",1580,
13-240,half,816,
13-230,"part, piece",779,
13-220,empty,1624,
13-210,full,1429,
13-190,"multitude, crowd",2023,
13-181,some,1241,
13-170,"little (quantity), few",1242,
13-180,enough,1881,
13-160,more,1992,
13-150,"much, many",1198,
13-140,"every, all",98,
13-107,count,1420,
13-106,thousand,1843,
13-105,hundred,1634,
13-104,twenty,1710,
13-103,fifteen,1709,
13-102,twelve,1707,
13-101,eleven,1706,
13-100,ten,1515,
13-90,nine,1483,
13-80,eight,1705,
13-70,seven,1704,
13-60,six,1703,
13-50,five,493,
13-40,four,1500,
13-20,two,1498,
13-30,three,492,
13-10,one,1493,
13-0,"zero, nothing",1294,
12-930,change,1264,
12-920,"like, similar",1558,
12-840,line,1048,
12-850,hole,1667,
12-830,"sphere, ball",1845,
12-810,round,1395,
12-820,circle,1467,
12-780,square,850,
12-770,cross,1367,
12-760,corner,192,
12-750,hook,1071,
12-740,crooked,297,
12-730,straight,1404,
12-710,flat,1633,
12-680,shallow,193,
12-670,deep,1593,
12-650,thin (in dimension),2249,
12-630,thick (in dimension),1244,
12-620,narrow,1267,
12-610,"wide, broad",1243,
12-590,short,1645,
12-580,tall,711,
12-570,long,1203,
12-560,"small, little",1246,
12-550,"large, big",1202,
12-541,"span, fathom",81,
12-540,measure,1506,
12-530,grow,479,
12-480,south,1595,
12-470,north,1598,
12-460,west,1817,
12-450,east,1877,
12-430,near (adv),1942,
12-440,far (adv),1406,
12-420,left (side),244,
12-410,right (side),1019,
12-370,"middle, center",1093,
12-360,side,682,
12-353,edge,863,
12-352,pointed,372,
12-350,end,742,
12-340,bottom,690,
12-320,low,721,
12-330,top,1753,
12-310,high,1265,
12-270,"hide, conceal",602,
12-250,"shut, close",1046,
12-260,cover,761,
12-240,open,1156,
12-232,divide,1119,
12-230,separate,1359,
12-220,"join, unite",1743,
12-213,pile up,1576,
12-212,pick up,371,
12-210,"collect, gather",7,
12-170,"remains, left overs",838,
12-160,"remain, stay",987,
12-150,stand,1442,
12-140,lie down,215,
12-130,sit,1416,
12-120,put,998,
12-110,place,723,
12-80,"up, above",1591,
12-70,under,1485,
12-60,outside,762,
12-50,"inside, in",1606,
12-41,front,1883,
12-40,before,1882,
12-30,"down, below",2094,
12-20,beside,1816,
12-11,behind,1686,
12-10,after,1685,
11-920,weigh,1098,
11-910,share (distribute),884,
11-890,cheap,1887,
11-880,"dear (costly, expensive)",1426,
11-870,price,657,
11-860,"store, shop",752,
11-850,market (place),633,
11-840,merchant,1082,
11-830,"trade, barter",2135,
11-820,sell,1571,
11-810,buy,1869,
11-790,earn,733,
11-780,wages,1122,
11-770,hire,856,
11-690,"tax, tribute",873,
11-660,"account, reckoning",1081,
11-650,pay (vb),718,
11-640,debt,1914,
11-630,owe,369,
11-620,borrow,1823,
11-610,lend,582,
11-540,"avaricious, stingy",1774,
11-530,beggar,1934,
11-520,poor,1674,
11-510,rich,712,
11-440,coin,1867,
11-430,money,1559,
11-340,"release, let go",1095,
11-330,lose,1660,
11-320,find,719,
11-310,"seek, look for",1468,
11-280,"harm, injure, damage",44,
11-270,destroy,681,
11-250,"save, rescue",2008,
11-240,"preserve, look after",1997,
11-220,give back,85,
11-210,give,1447,
11-180,thing,738,
11-170,"keep, retain",1477,
11-160,"get, obtain",694,
11-150,hold,1448,
11-140,"seize, grasp",2021,
11-130,take,1749,
11-120,"own, possess",684,
11-110,have,773,
10-920,land (vb),1922,
10-910,"harbor, port",610,
10-890,anchor,1870,
10-880,sail (noun),786,
10-870,mast,184,
10-860,rudder,108,
10-852,row (vb),1849,
10-851,paddle (noun),234,
10-850,oar,108,
10-840,raft,1664,
10-832,outrigger,416,
10-831,canoe,1970,
10-830,boat,1844,
10-810,ship,740,
10-780,yoke,14,
10-770,axle,1769,
10-760,wheel,710,
10-750,"carriage, wagon, cart",122,
10-740,bridge,1011,
10-720,path,2252,
10-710,road,667,
10-670,"push, shove",1452,
10-660,ride,367,
10-650,drive,741,
10-640,lead (vb),43,
10-630,send,1127,
10-620,bring,692,
10-615,carry-underarm,415,
10-614,carry-on-head,414,
10-613,carry-on-shoulder,413,
10-612,carry-in-hand,412,
10-610,carry (bear),700,
10-570,enter,749,
10-560,approach,1778,
10-550,"reach, arrive",1387,
10-530,pursue,1047,
10-520,follow,1085,
10-510,flee,956,
10-491,disappear,485,
10-490,"go away, depart",1752,
10-481,come back,581,
10-480,come,1446,
10-474,go out,1107,
10-473,go down,2014,
10-472,climb,1102,
10-470,go,695,
10-471,go up,705,
10-460,run,1519,
10-451,limp,366,
10-450,walk,1443,
10-440,dance,1879,
10-431,kick,1135,
10-430,"jump, leap",1829,
10-420,"slide, slip",1324,
10-413,crouch,296,
10-412,kneel,66,
10-410,"creep, crawl",96,
10-380,blow,175,
10-370,fly (vb),1441,
10-360,sail (vb),787,
10-352,splash,365,
10-351,dive,119,
10-350,swim,1439,
10-340,float,1574,
10-330,sink,1088,
10-320,flow,2003,
10-260,shake,1909,
10-252,catch (ball),702,
10-250,throw,1456,
10-240,drip,2253,
10-230,fall,1280,
10-220,"raise, lift",501,
10-210,rise,568,
10-170,twist,430,
10-160,drop (vb),808,
10-150,roll,827,
10-140,"wind, wrap",1113,
10-130,turn around,1445,
10-120,turn over,1588,
10-110,move,765,
9-890,paint (vb),2001,
9-840,chisel,1979,
9-880,paint (noun),647,
9-830,statue,1002,
9-820,sculptor,914,
9-810,carve,228,
9-791,fan (vb),360,
9-790,fan (noun),1971,
9-780,netbag,293,
9-771,rug,292,
9-770,mat,195,
9-760,basket,1539,
9-750,"weave, plait",1729,
9-740,glass,604,
9-730,clay,1399,
9-720,mold (clay etc),289,
9-710,potter,359,
9-690,"tin, tinplate",358,
9-680,lead (noun),627,
9-670,iron,621,
9-660,"copper, bronze",1825,
9-650,silver,759,
9-640,gold,1369,
9-630,cast (metals),211,
9-620,anvil,1648,
9-610,forge,288,
9-600,"smith, blacksmith",1001,
9-560,glue,1069,
9-500,nail,502,
9-490,hammer,1481,
9-480,saw,1948,
9-461,hollow out,46,
9-460,bore,1501,
9-440,build,1840,
9-430,carpenter,1042,
9-422,tool,1361,
9-380,broom,245,
9-360,wash,1453,
9-370,sweep,230,
