ID,Name,Description,Contributors
325,Khwarshi (Kwantlada dialect),,Madzhid Khalilov|Author
319,Ossetic,,Madzhid Khalilov|Author
320,Avar (Araderikh dialect),,Madzhid Khalilov|Author
321,Avar (Khunzakh dialect),,Madzhid Khalilov|Author
322,"Avar (East, Gergebil dialect)",,Madzhid Khalilov|Author
323,Avar (Ansalta dialect),,Madzhid Khalilov|Author
324,Avar (Salatav dialect),,Madzhid Khalilov|Author
61,Aghul,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
33,Akhvakh (Northern Akhvakh),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
34,Akhvakh (Southern Akhvakh),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
32,Andi,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
62,Archi (variety 1),,Stefan Lange|Data Entry;Madzhid Khalilov|Author
107,Avar,,Claudia Schmidt|Data Entry;Hagen Jung|Data Entry;Madzhid Khalilov|Author;Stefan Lange|Data Entry
28,Avar (Andalal dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
29,Avar (Antsukh dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
26,Avar (Batlukh dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
27,Avar (Hid dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
31,Avar (Karakh dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
81,Avar (Kusur dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
30,Avar (Zakataly dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
71,Azerbaijani,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
35,Bagvalal,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
37,Botlikh,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
63,Budukh,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
51,Chamalal,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
75,Chechen,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
59,Dargwa (Kubachi dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
57,Dargwa,,Madzhid Khalilov|Author;Stefan Lange|Data Entry
60,Dargwa (Khajdak dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
58,Dargwa (Itsari dialect),,Madzhid Khalilov|Author;Stefan Lange|Data Entry
126,Erzya Mordvin,,Piret Klesment|Data Entry;Olga Erina|Author
127,Estonian,,Iris Audova|Data Entry;Margit Kuusk|Author;Ago Künnap|Author
