name,lg_id,what_did_id,contact
Iris Audova,127,1,
Margit Kuusk,127,2,
Ago Künnap,127,2,
Anja  Pihlajaniemi,128,3,
Margit Kuusk,128,2,
Piret Klesment,151,1,
Iris Audova,131,1,
Piret Klesment,135,1,
Nataliya Kochkareva,135,2,
Nina Lyskova,135,2,
Piret Klesment,139,1,
Adolf Turkin,139,2,
Pekka Sammallahti,143,3,
Axel Jagau,143,2,
Kulle Kallavus,143,2,
Iris Audova,146,1,
Nina Lyskova,146,2,
Inna Timiryaeva,147,2,
Piret Klesment,148,1,
Mariya Barmich,148,2,
Arkadiy I. Gashilov,151,2,
Lyudmila Karpova,159,2,
Piret Klesment,126,1,
Olga Erina,126,2,
Claudia Schmidt,39,1,
Péter Pomozi,131,2,
Sirje Volmre,131,2,
BIBIKO,161,2,
Claudia Schmidt,107,1,
Madzhid Khalilov,26,2,
Madzhid Khalilov,27,2,
Madzhid Khalilov,28,2,
Madzhid Khalilov,29,2,
Fotis A. Kavoukopoulos,167,2,
Mary Ritchie Key,167,1,
buck1949;liddell1996;magnien1985,167,4,
Maria Tsigou,168,2,
Mary Ritchie Key,168,1,
buck1949,168,4,
Philip Baldi,169,2,
Mary Ritchie Key,169,1,
Mackayla Infante-Wong,169,1,
glare1997,169,4,
ainsworth1923,169,4,NULL
Ernout2001,169,4,NULL
Martin Maiden,170,2,
Mary Ritchie Key,170,1,
Mary Ritchie Key,171,1,
various,171,2,
Madzhid Khalilov,30,2,
Madzhid Khalilov,31,2,
Madzhid Khalilov,32,2,
Madzhid Khalilov,33,2,
Madzhid Khalilov,34,2,
Madzhid Khalilov,35,2,
Madzhid Khalilov,36,2,
Madzhid Khalilov,37,2,
Madzhid Khalilov,38,2,
Madzhid Khalilov,39,2,
Stefan Lange,39,1,
Madzhid Khalilov,40,2,
Jana Price,172,2,
Mary Ritchie Key,172,1,
Miriam Abbott,173,2,
Patrick Foster,173,2,
Mary Ritchie Key,173,1,
Katherine Hall,174,2,
Mary Ritchie Key,174,1,
Robert E. Hawkins,175,2,
Mary Ritchie Key,175,1,
Madzhid Khalilov,41,2,
Stefan Lange,41,1,
Stefan Lange,26,1,
Stefan Lange,27,1,
Stefan Lange,29,1,
Stefan Lange,28,1,
Stefan Lange,30,1,
Stefan Lange,31,1,
Stefan Lange,32,1,
Stefan Lange,33,1,
Stefan Lange,34,1,
Stefan Lange,35,1,
Stefan Lange,36,1,
Stefan Lange,37,1,
Stefan Lange,38,1,
Stefan Lange,40,1,
Madzhid Khalilov,42,2,
Stefan Lange,42,1,
Stefan Lange,50,1,
Madzhid Khalilov,50,2,
Madzhid Khalilov,51,2,
Stefan Lange,51,1,
Madzhid Khalilov,52,2,
Stefan Lange,52,1,
Madzhid Khalilov,54,2,
Stefan Lange,54,1,
Madzhid Khalilov,55,2,
Stefan Lange,55,1,
Madzhid Khalilov,56,2,
Stefan Lange,56,1,
Madzhid Khalilov,57,2,
Stefan Lange,57,1,
Madzhid Khalilov,58,2,
Stefan Lange,58,1,
