ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,representations,date,alt_names
325,Khwarshi (Kwantlada dialect),,42.2743,45.9977,khva1239,khv,CyrillTrans,2015-01-27,
319,Ossetic,,41.7882,43.2674,osse1243,oss,CyrillTrans,2015-01-22,Osetin;Ossetian;Ирон æвзаг;Ossete
320,Avar (Araderikh dialect),,41.7047,46.558,avar1256,ava,CyrillTrans,2015-01-22,
321,Avar (Khunzakh dialect),,,,kunz1243,,CyrillTrans,2015-01-22,
322,Avar (East Gergebil dialect),,41.7047,46.558,avar1256,ava,CyrillTrans,2015-01-27,
323,Avar (Ansalta dialect),,41.7047,46.558,avar1256,ava,CyrillTrans,2015-01-27,
324,Avar (Salatav dialect),,,,sala1265,,CyrillTrans,2015-01-27,
61,Aghul,,41.9242,47.5843,aghu1253,agx,CyrillTrans;Phonemic,2014-01-23,Aghul;Aguly;Agul;Aghulshuy
33,Akhvakh (Northern dialect),,42.4003,46.3037,akhv1239,akv,CyrillTrans;Phonemic,2014-01-23,Akhvakh;Northern;Axvax
34,Akhvakh (Southern dialect),,42.4003,46.3037,akhv1239,akv,CyrillTrans;Phonemic,2014-01-23,Akhvakh;Southern;Axvax
32,Andi,,42.8078,46.2919,andi1255,ani,CyrillTrans;Phonemic,2014-01-24,Andi;Qwannab;Andii;Andiy
62,Archi (variety 1),,42.3239,46.8267,arch1244,aqc,CyrillTrans;Phonemic,2014-01-24,Archi;Archintsy;Archin
107,Avar,,41.7047,46.558,avar1256,ava,CyrillTrans;Phonemic,2014-01-24,Avaro;Dagestani;Avar
28,Avar (Andalal dialect),,,,anda1281,,CyrillTrans;Phonemic,2014-01-24,Andalal;Avar
29,Avar (Antsukh dialect),,,,ancu1238,,CyrillTrans;Phonemic,2014-01-24,Ancux;Antsukh;Avar
26,Avar (Batlukh dialect),,,,batl1238,,CyrillTrans;Phonemic,2014-01-24,Batlukh;Avar;Batlux
27,Avar (Hid dialect),,,,hidd1238,,CyrillTrans;Phonemic,2014-01-24,Avar;Hid
31,Avar (Karakh dialect),,,,kara1473,,CyrillTrans;Phonemic,2014-01-24,Avar;Karakh;Karax
81,Avar (Kusur dialect),,41.7047,46.558,avar1256,ava,CyrillTrans;Phonemic,2014-01-24,Avar;Kusur
30,Avar (Zakataly dialect),,,,zaka1239,,CyrillTrans;Phonemic,2014-01-24,Char;Zakataly;Avar
71,Azerbaijani,,40.9777,46.4737,nort2697,azj,CyrillTrans;Phonemic,2014-01-24,Azerbaijani;Azerbaijan;Azerbaydzhani;Azeri;Torki;Turk
35,Bagvalal,,42.3966,46.1041,bagv1239,kva,CyrillTrans;Phonemic,2014-01-24,Bagvalal;Bagulal;Bagvalin;Bagwalal;Barbalin;Kvanada;Kvanadin
37,Botlikh,,42.7658,46.1944,botl1242,bph,CyrillTrans;Phonemic,2014-01-24,Botlikh;Botlix
63,Budukh,,41.2272,48.3353,budu1248,bdk,CyrillTrans;Phonemic,2014-01-24,Budukh;Bukukhi;Budug;Budugi;Buduk;Budux
51,Chamalal,,42.5024,45.995,cham1309,cji,CyrillTrans;Phonemic,2014-01-25,Camalal;Chamalal;Chamalin
75,Chechen,,43.5,45.5,chec1245,che,CyrillTrans;Phonemic,2014-01-25,Muott;Chechen;Nokhchiin;Nokchiin;Galancho
59,Dargwa (Kubachi dialect),,,,kuba1248,,CyrillTrans;Phonemic,2014-01-25,Dargwa;Kubachin;Kubachi;Khiurkilinskii;Dialect;Dargintsy;Dargin;Dargi;Kubachintsy;Ughbug
57,Dargwa,,42.4257,47.4388,darg1241,dar,CyrillTrans;Phonemic,2014-01-25,Dargintsy;Dargwa;Khiurkilinskii;Dargi;Dargin
60,Dargwa (Khajdak dialect),,,,kajt1238,,CyrillTrans;Phonemic,2014-01-25,Dargi;Xajdak;Khiurkilinskii;Dargwa;Dialect;Kaitak;Kajtak;Kaytak;Dargin;Dargintsy
58,Dargwa (Itsari dialect),,,,itsa1239,,CyrillTrans;Phonemic,2014-01-25,Dargintsy;Dargin;Dargwa;Itsari;Khiurkilinskii;Dargi
126,Erzya Mordvin,,52.8548,45.3901,erzy1239,myv,Phonemic,2007-09-27,Eriza;Eryza;Erza;Mordvin;Mordvin-Erzya
127,Estonian,,58.55,25.82,esto1258,est,Phonemic,2007-09-27,Eesti;Estonian;Viro
128,Finnish,,64.7628,25.5577,finn1318,fin,Phonemic,2007-09-27,Finnish;Suomea;Suomi
38,Godoberi,,42.7428,46.2252,ghod1238,gdo,CyrillTrans;Phonemic,2014-01-25,Ghodoberin;Godoberin;Ghodoberi;Godoberi
42,Hinuq,,42.4502,45.8064,hinu1240,gin,CyrillTrans;Phonemic,2014-01-26,Hinux;Ginux;Ginukhtsy;Ginukh;Hinukh
131,Hungarian,,46.9069,19.6555,hung1274,hun,Standard;Phonemic,2007-09-27,Hungarian;Magyar
52,Hunzib,,42.0808,46.1369,hunz1247,huz,CyrillTrans;Phonemic,2014-01-26,Enzeb;Gunzib;Hunzib;Khunzaly;Xunzal
39,Karata,,42.6501,46.3151,kara1474,kpt,CyrillTrans;Phonemic,2014-01-26,Karatai;Kirdi;Karata;Karatin
40,Karata (Tokitin dialect),,,,toki1238,,CyrillTrans;Phonemic,2014-01-26,Karatin;Tokita;Kirdi;Tokitin;Karata;Karatai
135,Khanty,,62.4308,66.1218,khan1273,kca,Phonemic,2007-09-27,Hanty;Khanti;Khanty;Obdorski;Ostjak;Ostyak;Xanty
69,Khinalug,,41.1801,48.0571,khin1240,kjj,CyrillTrans;Phonemic,2014-01-26,Khinalug;Khinalugi;Khinalugh;Xinalug
54,Khwarshi (Inkhokvari dialect),,,,inxo1238,,CyrillTrans;Phonemic,2014-01-26,Inxokvari;Khvarsh;Khvarshi;Khvarshin;Xvarshi;Xvarshik
41,Khwarshi (Khwarshi dialect),,,,xvar1237,,CyrillTrans;Phonemic,2014-01-26,Xvarshi;Khvarsh;Khvarshi;Xvarshik
139,Komi,,64.0527,54.946,komi1268,kpv,Phonemic,2007-09-27,Komi
72,Kumyk,,43.0,47.0,kumy1244,kum,CyrillTrans;Phonemic,2014-01-26,Kumuklar;Kumuk;Kumyki;Kumyk
56,Lak,,42.1328,47.0809,lakk1252,lbe,CyrillTrans;Phonemic,2014-01-26,Lak;Kazikumukhtsy;Laki
143,Northern Saami,,68.725,22.1113,nort2671,sme,Phonemic,2007-09-27,Davvin;Lapp;Lappish;North;Northern;Norwegian;Ruija;Saame;Saami;Same;Samic
64,Lezgian,,41.5157,47.8951,lezg1247,lez,CyrillTrans;Phonemic,2014-01-26,Lezgi;Lezghi;Kiurinty;Kiurinsty;Lezgin;Lezgian
65,Lezgi (Mikrakh dialect),,41.5157,47.8951,lezg1247,lez,CyrillTrans;Phonemic,2014-01-26,Kiurinsty;Dialect;Kiurinty;Lezghi;Lezgi;Lezgian;Lezgin;Mikrakh;Mikrax
146,Mansi,,64.4118,61.344,mans1258,mns,Phonemic,2007-09-27,Mansi;Mansiy;Vogul;Vogulich;Voguly
147,Mari,,55.8307,48.405,east2328,mhr,Phonemic,2007-09-27,Cheremis;Mari
148,Nenets,,66.1775,71.0234,nene1249,yrk,Phonemic,2007-09-27,Nenec;Nenets;Nenetsy;Nentse;Samoyed;Yurak
73,Nogai,,43.5917,46.6618,noga1249,nog,CyrillTrans;Phonemic,2014-01-26,Noghaylar;Noghay;Nogay;Noghai;Nogalar;Nogaitsy;Nogai
66,Rutul,,41.6187,47.3244,rutu1240,rut,CyrillTrans;Phonemic,2014-01-26,Mukhad;Mykhanidy;Rutal;Rutul;Rutuly;Rutultsy;Chal
151,Selkup,,59.9409,82.3004,selk1253,sel,Phonemic,2007-09-27,Ostyak;Samoyed;Sel'kup;Selkup
67,Tabasaran (Northern dialect Khanag subdialect),,42.0198,47.8379,taba1259,tab,CyrillTrans;Phonemic,2014-01-26,Tabassaran;Tabasarantsy;Tabasaran;North;Khanag;Ghumghum;Dialect
68,Tabasaran (Southern dialect),,,,sout2752,,CyrillTrans;Phonemic,2014-01-26,Tabasarantsy;Tabasaran;South;Ghumghum;Dialect;Tabassaran
